Model Name,R2,MAE,RMSE,MAPE (%)
XGBoost Regressor,0.9972198939938899,247.20637485493404,325.480587372494,0.9902374718110121
LightGBM Regressor,0.99702456307595,256.8446325974388,336.7206779475763,1.0313057862071116
Random Forest Regressor,0.9963412777193031,286.8221415993524,373.38695043304403,1.1365902885128931
Linear Regression,0.9948112532869297,339.933480599044,444.6575274267161,1.3488687644748458
SNaive Daily,0.8256966228065227,1849.664098173516,2577.1952010182754,7.370271683316979
SNaive Weekly,0.7764130548298723,2177.706472845623,2918.8893652427582,8.436012756796368
